station_name,location,time_of_day,start_station_count,end_station_count,total_station_traffic
E 31 St & 3 Ave,"40.74394314,-73.97966069",Morning,707,461,1168
Clinton Ave & Flushing Ave,"40.69794,-73.96986848",Morning,482,672,1154
W 20 St & 8 Ave,"40.74345335,-74.00004031",Morning,761,392,1153
E 10 St & 5 Ave,"40.73331967,-73.99510132",Morning,550,589,1139
Bayard St & Baxter St,"40.71602118,-73.99974372",Morning,577,559,1136
2 Ave & E 31 St,"40.74290902,-73.97706058",Morning,673,456,1129
Kent Ave & N 7 St,"40.720367752984551,-73.961650729179382",Morning,385,722,1107
E 56 St & Madison Ave,"40.761628,-73.972924",Morning,409,695,1104
E 53 St & Lexington Ave,"40.75828065,-73.97069431",Morning,468,635,1103
Clinton St & Tillary St,"40.696192,-73.991218",Morning,541,558,1099
W 56 St & 10 Ave,"40.768254,-73.988639",Morning,645,451,1096
Spruce St & Nassau St,"40.71146364,-74.00552427",Morning,408,686,1094
Atlantic Ave & Furman St,"40.69165183,-73.9999786",Morning,581,497,1078
E 25 St & 1 Ave,"40.7381765,-73.97738662",Morning,607,471,1078
Elizabeth St & Hester St,"40.71729,-73.996375",Morning,581,493,1074
W 43 St & 10 Ave,"40.76009437,-73.99461843",Morning,657,416,1073
Jay St & Tech Pl,"40.695065,-73.987167",Morning,528,541,1069
E 19 St & 3 Ave,"40.73624527,-73.98473765",Morning,631,418,1049
1 Ave & E 18 St,"40.733812191966315,-73.980544209480286",Morning,710,326,1036
Front St & Maiden Ln,"40.70530954,-74.00612572",Morning,536,493,1029
E 11 St & 1 Ave,"40.72953837,-73.98426726",Morning,539,485,1024
E 20 St & FDR Drive,"40.73314259,-73.97573881",Morning,687,326,1013
William St & Pine St,"40.70717936,-74.00887308",Morning,464,542,1006
E 14 St & Avenue B,"40.72938685,-73.97772429",Morning,803,201,1004
St Marks Pl & 1 Ave,"40.72779126,-73.98564945",Morning,618,382,1000
Warren St & Church St,"40.71473993,-74.00910627",Morning,381,603,984
Hudson St & Reade St,"40.71625008,-74.0091059",Morning,496,488,984
W 29 St & 9 Ave,"40.7500727,-73.99839279",Morning,477,500,977
Division St & Bowery,"40.71413089,-73.9970468",Morning,553,423,976
Water - Whitehall Plaza,"40.70255065,-74.0127234",Morning,405,565,970
E 3 St & 1 Ave,"40.72467721,-73.98783413",Morning,573,396,969
Lawrence St & Willoughby St,"40.69236178,-73.98631746",Morning,400,558,958
